HudongItem,relation,NewNode
菊糖,instance of,药物治疗
菊糖,subclass of,膳食纤维
瓦尔,mouth of the watercourse,Boven Merwede
菊糖,described by source,亚美尼亚苏维埃百科全书
瓦尔,tributary,Linge
Arnold,instance of,男性人名
Arnold,language of work or name,爱沙尼亚语
Bishop,named after,Bishop Creek
小型计算机,topic's main category,Category:迷你电脑
1430年,part of,1430年代
瓦尔,country,荷兰
菊糖,has part,氢
海螂目,instance of,生物分类单元
艾博特,instance of,人类
茄子,instance of,生物分类单元
Kellogg,instance of,人类
Arnold,significant event,most frequent first names at birth in Rotterdam (1811-1913)
Satsuma,located in the administrative territorial entity,莫比尔县
1430年,follows,1429年
瓦尔,located in the administrative territorial entity,北布拉班特省
心肌梗死,subclass of,冠状动脉疾病
草药,subclass of,香草植物
茄子,part of,土耳其菜式
砷酸,topic's main category,Category:砷酸盐
波河,origin of the watercourse,Pian del Re
Arnold,significant event,frequency of first names in the Netherlands 2010
温县,contains administrative territorial entity,温泉镇 (温县)
Bishop,located in the administrative territorial entity,因约县
1430年,followed by,1431年
瓦尔,located in the administrative territorial entity,南荷兰省
竹笋,subclass of,edible plant stem
白蜡树,instance of,生物分类单元
犰狳科,instance of,生物分类单元
方阵,instance of,维基媒体消歧义页
PVI,instance of,机场
草芍药,instance of,生物分类单元
心肌梗死,afflicts,coronary artery
海螂目,parent taxon,异齿亚纲
砷酸,has part,氢
温县,contains administrative territorial entity,祥云镇
Bishop,topic's main category,Category:Bishop California
1430年,topic's main category,Category:1430年
PVI,named after,帕拉纳瓦伊
PSD,chairperson,维克托·蓬塔
心肌梗死,health specialty,心脏内科
海螂目,topic's main category,Category:Myoida
艾博特,given name,查尔斯
草药,use,阿育吠陀
茄子,parent taxon,茄属
波河,tributary,多拉巴尔泰河
Arnold,name day,12月1日
温县,contains administrative territorial entity,番田镇
Bishop,category of associated people,Category:People from Bishop California
1430年,has part,January 1430
Mira,instance of,女性人名
消声器,subclass of,人造物件
杨钟,instance of,人类
ZB,instance of,unit of information
牡荆属,instance of,生物分类单元
犰狳科,parent taxon,有甲目
Welch,located in the administrative territorial entity,麦克道威县 (西维吉尼亚州)
PSD,chairperson,利维乌·德拉格内亚
草药,topic's main category,Category:药用植物
波河,tributary,阿达河
Kellogg,place of birth,康乃狄克州
Arnold,name day,8月4日
温县,contains administrative territorial entity,黄庄镇 (温县)
Mira,language of work or name,阿拉伯语
消声器,part of,枪械
243年,part of,240年代
MgO,instance of,药物治疗
圣华金河,origin of the watercourse,Thousand Island Lake
白蜡树,IUCN conservation status,无危物种
犰狳科,means of locomotion,滚动
Welch,category of associated people,Category:People from Welch West Virginia
PSD,country,罗马尼亚
草芍药,taxon synonym,Paeonia japonica
心肌梗死,symptoms,恶心
艾博特,place of birth,Wilton
草药,described by source,俄语百科全书
茄子,topic's main category,Category:Eggplants
波河,tributary,奥利奥河
Kellogg,place of death,阿拉米达
温县,contains administrative territorial entity,武德镇
南诏,instance of,已不存在的国家
山桑,instance of,生物分类单元
孟元,instance of,人类
费希尔,instance of,维基媒体消歧义页
以太网,instance of,非正式标准
Bing,instance of,人类
Mira,language of work or name,斯洛文尼亚语
消声器,described by source,Sytin Military Encyclopedia
243年,follows,242年
MgO,has effect,Magnesium oxide exposure
犰狳科,topic's main category,Category:犰狳科
PVI,place served by transport hub,帕拉纳瓦伊
PSD,member of,欧洲社会党
心肌梗死,drug used for treatment,替奈普酶
艾博特,place of death,华盛顿哥伦比亚特区
草药,described by source,Encyclopedia of Armenian Nature
波河,tributary,明乔河
Kellogg,occupation,植物学家
温县,contains administrative territorial entity,赵堡镇
南诏,official language,白语
碳酸铵,described by source,亚美尼亚苏维埃百科全书
Mira,significant event,frequency of first names in the Netherlands 2010
243年,followed by,244年
牡荆属,topic's main category,Category:Vitex
MgO,described by source,亚美尼亚苏维埃百科全书
圣华金河,tributary,Stanislaus River
PSD,headquarters location,Șoseaua Kiseleff
心肌梗死,drug used for treatment,美托洛尔
艾博特,place of burial,Brentwood
波河,tributary,塔纳罗河
Arnold,said to be the same as,Arnaldo
温县,contains administrative territorial entity,南张羌镇
Carlson,instance of,patronymic surname
懒熊,instance of,生物分类单元
百里奚,instance of,人类
TG,instance of,共产政党
水晶兰属,instance of,生物分类单元
孟元,occupation,电视演员
闰年,part of,儒略历
以太网,opposite of,Wi-Fi
243年,topic's main category,Category:243年
圣华金河,tributary,Tuolumne River
PSD,political ideology,社会民主主义
心肌梗死,drug used for treatment,毕索洛尔
波河,tributary,佩利切河
Arnold,said to be the same as,Arnau
温县,contains administrative territorial entity,岳村乡 (温县)
1557年,part of,1550年代
TG,founded by,陈独秀
南诏,basic form of government,君主制
孟元,occupation,电影演员
碳酸铵,has part,氢
以太网,topic's main category,Category:乙太网路
Bing,given name,弗列德里克
圣华金河,tributary,美熹德河
PSD,topic's main category,Category:Social Democratic Party (Romania)
心肌梗死,drug used for treatment,pindolol
波河,tributary,Sangone
Arnold,said to be the same as,Arnoldus
温县,contains administrative territorial entity,招贤乡
张德慈,instance of,人类
Environmental,instance of,合辑
王维,instance of,人类
1557年,follows,1556年
懒熊,parent taxon,Melursus
TG,founded by,李大钊
水晶兰属,parent taxon,Monotropoideae
南诏,topic's main category,Category:南诏
闰年,has quality,2月29日
圣华金河,tributary,Mokelumne River
心肌梗死,drug used for treatment,anisindione
艾博特,occupation,天体物理学家
波河,tributary,多拉里帕里亚河
Arnold,said to be the same as,Arnout
温县,contains administrative territorial entity,北冷乡
Environmental,performer,Various Artists
1771年,part of,1770年代
Rapido,mouth of the watercourse,利里河
Carlson,said to be the same as,Carlsen
1557年,followed by,1558年
懒熊,IUCN conservation status,易危物种
百里奚,family name,百里姓
TG,chairperson,习近平
Mira,said to be the same as,Miira
心肌梗死,drug used for treatment,acebutolol
艾博特,field of work,天体物理学
波河,tributary,斯图拉迪兰佐河
Arnold,said to be the same as,阿瑙德
温县,located in time zone,UTC+08:00
Mango,instance of,人类
Nuclear,instance of,乐队
柱式,subclass of,建筑风格
木地肤,instance of,生物分类单元
Carlson,said to be the same as,Karlsen
1557年,topic's main category,Category:1557年
百里奚,spouse,澣妇
TG,chairperson,胡锦涛
水晶兰属,topic's main category,Category:水晶兰属
闰年,described by source,Great Soviet Encyclopedia (1926—1947)
Bing,place of death,好莱坞
心肌梗死,drug used for treatment,地尔硫䓬
艾博特,employer,史密森尼学会
波河,tributary,奥尔科河
Arnold,said to be the same as,Arnoud
机电工程,subclass of,engineering disciplines
Nuclear,genre,敲击金属
氟烷,instance of,药物治疗
柱式,subclass of,规则
张德慈,given name,T.
胰凝乳蛋白酶,described by source,亚美尼亚苏维埃百科全书
Carlson,said to be the same as,Karlsson
百里奚,child,孟明视
TG,chairperson,江泽民
Bing,occupation,演员
圣华金河,topic's main category,Category:圣华金河
艾博特,member of,美国文理科学院
波河,tributary,塞西亚河
Arnold,said to be the same as,Arnol
Cramer,instance of,人类
vessel,subclass of,载具
地窖,subclass of,subterranea
Seth,instance of,男性人名
青山,instance of,人类聚居地
溜曲霉,instance of,生物分类单元
机电工程,topic's main category,Category:电机工程
Nuclear,record label,烛光唱片
氟烷,instance of,inhalational anaesthetic
柱式,subclass of,proportion
麦格雷戈,located in the administrative territorial entity,艾特金县
木地肤,parent taxon,雾冰藜属
1771年,topic's main category,Category:1771年
王维,place of birth,晋中市
Carlson,said to be the same as,Karlson
甘油醛,has part,氢
百里奚,occupation,政治人物
TG,chairperson,赵紫阳
Bing,occupation,电影导演
圣华金河,bodies of water basin category,Category:San Joaquin River Basin
心肌梗死,drug used for treatment,依非巴特
艾博特,significant event,人瑞
波河,tributary,阿戈尼亚河
Arnold,said to be the same as,Arne
地窖,subclass of,房间
Seth,significant event,frequency of first names in the Netherlands 2010
贝加尔湖,instance of,Cryptodepression
Mango,given name,Giuseppe
氟烷,instance of,essential medicine
柱式,subclass of,系统
木地肤,taxon synonym,Salsola prostrata
张德慈,occupation,植物学家
1771年,has part,June 1771
Carlson,said to be the same as,Carlsson
TG,chairperson,胡耀邦
Bing,occupation,编剧
圣华金河,watershed,San Joaquin River basin
心肌梗死,drug used for treatment,普萘洛尔
艾博特,award received,亨利·德雷伯奖章
波河,tributary,提契诺河
Arnold,said to be the same as,Arnauld
Cramer,country of citizenship,Republic of Geneva
地窖,subclass of,building component
青山,located in the administrative territorial entity,港区 (东京都)
Mango,place of birth,拉戈内格罗
氟烷,has effect,Halothane exposure
木地肤,taxon synonym,Kochia prostrata
张德慈,occupation,遗传学家
王维,sibling,王缙
TG,chairperson,胡耀邦
心肌梗死,drug used for treatment,拉贝洛尔
艾博特,award received,拉姆福德奖
波河,tributary,兰布罗河
Arnold,said to be the same as,Aarne
地窖,topic's main category,Category:Basements
青山,topic's main category,Category:青山
贝加尔湖,lake inflows,巴尔古津河
Mango,place of death,波利科罗
氟烷,medical condition treated,status asthmaticus
柱式,facet of,Modern Greek architecture
木地肤,basionym,Salsola prostrata
张德慈,member of,美国国家科学院
TG,chairperson,华国锋
心肌梗死,drug used for treatment,Dalteparin
波河,tributary,斯克里维亚河
Arnold,said to be the same as,Arn
Cramer,place of birth,日内瓦
地窖,different from,cellar
Seth,different from,赛特
贝加尔湖,lake inflows,上安加拉河
Mango,manner of death,自然死亡
柱式,facet of,古罗马建筑
张德慈,member of,中华民国中央研究院
心肌梗死,drug used for treatment,timolol
艾博特,educated at,菲利普斯学院
波河,tributary,特雷比亚河
Arnold,said to be the same as,Arnas
Cramer,place of death,塞兹河畔巴尔尼奥尔
贝加尔湖,lake inflows,Babkha
氟烷,physically interacts with,Potassium two pore domain channel subfamily K member 10
柱式,facet of,文艺复兴建筑
张德慈,member of,教廷科学院
王维,occupation,画家
TG,secretary general,习近平
心肌梗死,drug used for treatment,nadolol
艾博特,residence,华盛顿哥伦比亚特区
波河,tributary,塔拉河
贝加尔湖,lake inflows,Bezymyannaya
Mango,sibling,Armando Mango
氟烷,physically interacts with,Potassium two pore domain channel subfamily K member 12
柱式,facet of,巴洛克建筑
张德慈,award received,泰勒环境成就奖
心肌梗死,drug used for treatment,阿替洛尔
艾博特,described by source,Nordisk familjebok
波河,tributary,帕尔马河
贝加尔湖,lake inflows,Davsha
Mango,languages spoken written or signed,意大利语
氟烷,physically interacts with,Potassium two pore domain channel subfamily K member 2
柱式,topic's main category,Category:Orders of columns
王维,occupation,作家
心肌梗死,drug used for treatment,esmolol
艾博特,described by source,Who Was Who Among North American Authors 1921-1939 (1976 ed.)
波河,tributary,恩扎河
贝加尔湖,lake inflows,基卡河
Mango,occupation,创作歌手
氟烷,physically interacts with,Potassium two pore domain channel subfamily K member 9
柱式,described by source,建筑十书
张德慈,educated at,康乃尔大学
王维,occupation,政治人物
TG,political ideology,中国特色社会主义
心肌梗死,drug used for treatment,tirofiban
波河,tributary,塞基亚河
Cramer,occupation,大学教员
贝加尔湖,lake inflows,Kichera
Mango,occupation,音乐家
柱式,described by source,亚美尼亚苏维埃百科全书
张德慈,educated at,Cornell University College of Agriculture and Life Sciences
王维,position held,部长
心肌梗死,drug used for treatment,sulfinpyrazone
波河,tributary,帕纳罗河
Cramer,member of,皇家学会
贝加尔湖,lake inflows,Kultuchnaya
Mango,occupation,歌手
王维,family,太原王氏
TG,political ideology,马克思列宁主义
心肌梗死,drug used for treatment,penbutolol
Cramer,member of,普鲁士科学院
贝加尔湖,lake inflows,Pokhabikha
王维,genre,肖像
TG,topic's main category,Category:中国共产党
Cramer,award received,皇家学会会员
贝加尔湖,lake inflows,Sarma River
Mango,genre,世界音乐
王维,described by source,Svensk uppslagsbok
心肌梗死,drug used for treatment,阿尼普酶
波河,located in the administrative territorial entity,皮埃蒙特
Cramer,educated at,日内瓦大学
贝加尔湖,lake inflows,Slyudyanka
Mango,genre,当代民俗音乐
王维,described by source,亚美尼亚苏维埃百科全书
心肌梗死,drug used for treatment,硝酸甘油
波河,located in the administrative territorial entity,伦巴第
Cramer,described by source,Biblioteca Europea di Informazione e Cultura
贝加尔湖,lake inflows,Slyudyanka
Mango,genre,流行摇滚
王维,different from,王卫
心肌梗死,drug used for treatment,carvedilol
波河,located in the administrative territorial entity,艾米利亚-罗马涅
Cramer,described by source,Nordisk familjebok
贝加尔湖,lake inflows,斯涅日纳亚河
心肌梗死,drug used for treatment,维拉帕米
波河,located in the administrative territorial entity,威尼托
贝加尔湖,lake inflows,Solzan
心肌梗死,genetic association,PLCL2
波河,topic's main category,Category:Po (river)
贝加尔湖,lake inflows,Tompuda
心肌梗死,genetic association,MIA3
波河,bodies of water basin category,Category:Po basin
贝加尔湖,lake inflows,Turka
心肌梗死,genetic association,PHACTR1
波河,described by source,Otto's encyclopedia
贝加尔湖,lake inflows,特亚河
心肌梗死,genetic association,WDR12
波河,described by source,大保利古典学百科全书
贝加尔湖,lake inflows,乌图利克河
心肌梗死,catalog,Wikipedia:基础条目
波河,watershed,Po basin
贝加尔湖,lake inflows,Khara-Murin
贝加尔湖,lake outflow,安加拉河
胜利,subclass of,成功
紫光,instance of,维基媒体消歧义页
黄羊,instance of,生物分类单元
gangrene,subclass of,坏死
黄酮类化合物,topic's main category,Category:黄酮类化合物
胜利,subclass of,result
1629年,part of,1620年代
Zepp,instance of,音乐展演空间
黄金时代,instance of,电影
中亚滨藜,instance of,生物分类单元
胜利,opposite of,击败
黄羊,parent taxon,原羚属
gangrene,topic's main category,Category:坏疽
房,topic's main category,Category:Polygyny
黄金时代,main subject,第二次世界大战
磷蛋白,topic's main category,Category:磷蛋白
chamber,part of,枪管
胜利,topic's main category,Category:Victory
黄羊,IUCN conservation status,无危物种
gangrene,described by source,俄语百科全书
华里,instance of,长度单位
人工呼吸,subclass of,复甦急救
流砂,subclass of,非牛顿流体
FDR,instance of,人类
恩施市,instance of,县级市
扁蚜科,instance of,生物分类单元
Zepp,headquarters location,东京都
chamber,described by source,Sytin Military Encyclopedia
中亚滨藜,parent taxon,滨藜属
1629年,topic's main category,Category:1629年
贝加尔湖,located in the administrative territorial entity,布里亚特共和国
人工呼吸,subclass of,急救
1523年,part of,1520年代
恩施市,instance of,subdivision of Hubei
黄金时代,genre,战争片
chamber,described by source,俄语百科全书
贝加尔湖,located in the administrative territorial entity,伊尔库茨克州
大黍,instance of,生物分类单元
胚胎,instance of,development stage of animal
林特,instance of,比利时直辖市
叉角羚科,instance of,生物分类单元
飞机,instance of,aircraft power class
陆龟科,instance of,生物分类单元
流砂,different from,Dry quicksand
1523年,follows,1522年
黄金时代,genre,剧情片
chamber,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
贝加尔湖,has cause,裂谷湖
粤语,instance of,声调语言
飞机,instance of,aircraft lift class
人工呼吸,topic's main category,Category:心肺复苏
1523年,followed by,1524年
扁蚜科,topic's main category,Category:扁蚜科
贝加尔湖,heritage designation,世界遗产
学术期刊,instance of,杂志体裁
Johnston,instance of,新英格兰镇
厄运,instance of,短篇
林特,located in the administrative territorial entity,安特卫普区
叉角羚科,parent taxon,Antilocapra
飞机,subclass of,固定翼飞行器
陆龟科,parent taxon,曲颈龟亚目
人工呼吸,has part,人工呼吸急救
1523年,topic's main category,Category:1523年
FDR,family name,Roosevelt
恩施市,located in the administrative territorial entity,恩施土家族苗族自治州
贝加尔湖,topic's main category,Category:Lake Baikal
学术期刊,subclass of,贸易刊物
黑脚,topic's main category,Category:阿尔及利亚法国人
Irish,subclass of,盖尔亚支
厄运,main subject,罗伯特·德斯特
粤语,subclass of,汉语族
机械,topic's main category,Category:机械
叉角羚科,taxon synonym,Antilocapra anteflexa
飞机,subclass of,powered aircraft
陆龟科,topic's main category,Category:陆龟总科
FDR,place of birth,海德帕克
恩施市,contains administrative territorial entity,舞阳坝街道
黄金时代,director,威廉·惠勒
贝加尔湖,described by source,亚美尼亚苏维埃百科全书
葛布,instance of,人类
珠江口,instance of,自由贸易园区
非洲油棕,instance of,生物分类单元
唾液腺,instance of,anatomical structure
布伦纳,located in the administrative territorial entity,科莫省
Irish,linguistic typology,谓主宾结构
Johnston,located in the administrative territorial entity,普罗维登斯县
厄运,genre,电视纪录片
粤语,linguistic typology,主谓宾结构
机械,described by source,Otto's encyclopedia
林特,shares border with,布豪特
叉角羚科,IUCN conservation status,无危物种
飞机,used by,global airplane fleet
FDR,place of death,沃姆斯普林斯
恩施市,contains administrative territorial entity,六角亭街道 (恩施市)
黄金时代,screenwriter,MacKinlay Kantor
贝加尔湖,described by source,Larousse Encyclopedia online
糖,part of,food law
学术期刊,topic's main category,Category:学术期刊
布伦纳,located in time zone,UTC+01:00
Irish,linguistic typology,主宾格语言
Johnston,topic's main category,Category:Johnston Rhode Island
厄运,original network,HBO
粤语,writing system,传统中文
机械,has part,机构学
林特,shares border with,迪弗尔
叉角羚科,topic's main category,Category:Antilocapra
飞机,topic's main category,Category:飞机
FDR,manner of death,自然死亡
恩施市,contains administrative territorial entity,小渡船街道
黄金时代,screenwriter,罗伯特·E·薛尔伍德
贝加尔湖,described by source,Sytin Military Encyclopedia
大亚湾,instance of,海湾
Jonathan,instance of,男性人名
蒙特卡罗法,instance of,随机化算法
发型,subclass of,形状
葛布,occupation,演员
唾液腺,anatomical location,cavity of mouth
egg,has effect,对鸡蛋过敏
布伦纳,located in time zone,UTC+02:00
Irish,linguistic typology,stress-timed language
Johnston,category of associated people,Category:People from Johnston Rhode Island
迪克森,located in the administrative territorial entity,李县 (伊利诺伊州)
粤语,writing system,简体中文
机械,catalog,Wikipedia:基础条目
胚胎,location of final assembly,颈卵器
林特,shares border with,孔蒂赫
叉角羚科,described by source,Nordisk familjebok
飞机,described by source,亚美尼亚苏维埃百科全书
FDR,cause of death,中风
恩施市,contains administrative territorial entity,龙凤镇 (恩施市)
黄金时代,cast member,玛娜·洛伊
贝加尔湖,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
194年,part of,190年代
蒙特卡罗法,subclass of,随机化算法
发型,field of work,时装
非洲油棕,this taxon is source of,棕榈油
唾液腺,topic's main category,Category:Salivary glands
egg,topic's main category,Category:Eggs (food)
布伦纳,sister city,拉查尔
Irish,linguistic typology,屈折语
迪克森,sister city,黑尔茨贝格
粤语,writing system,粤语白话文
胚胎,described by source,亚美尼亚苏维埃百科全书
林特,shares border with,霍弗
叉角羚科,described by source,Larousse Encyclopedia online
飞机,described by source,Sytin Military Encyclopedia
FDR,place of burial,富兰克林·D·罗斯福故居
恩施市,contains administrative territorial entity,崔坝镇
黄金时代,cast member,弗雷德里克·马区
贝加尔湖,described by source,俄语百科全书
豹子花,instance of,生物分类单元
塞浦路斯岛,instance of,维基媒体消歧义页
木薯属,instance of,生物分类单元
194年,follows,193年
Jonathan,significant event,frequency of first names in the Netherlands 2010
蒙特卡罗法,named after,蒙特卡洛赌场
发型,topic's main category,Category:发型
珠江口,topic's main category,Category:珠江三角洲
非洲油棕,this taxon is source of,棕榈核仁油
egg,different from,鸡蛋
布伦纳,shares border with,坎图
厄运,screenwriter,Andrew Jarecki
迪克森,topic's main category,Category:Dixon Illinois
粤语,writing system,Cantonese Braille
林特,coat of arms,coat of arms of Lint
飞机,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
FDR,father,老詹姆斯·罗斯福
恩施市,contains administrative territorial entity,板桥镇 (恩施市)
黄金时代,cast member,泰瑞莎·莱特
贝加尔湖,described by source,Encyclopædia Britannica Ninth Edition
霍利,instance of,民政教区
奎尼丁,instance of,药物治疗
中国古籍,topic's main category,Category:中文古典典籍
黄山风景区,IUCN protected areas category,IUCN分类六:可持续使用自然资源保护区
蒙特卡罗法,discoverer or inventor,恩里科·费米
非洲油棕,IUCN conservation status,无危物种
布伦纳,shares border with,卡鲁戈
Irish,writing system,欧甘字母
厄运,executive producer,杰森·布伦
迪克森,category of associated people,Category:People from Dixon Illinois
粤语,has dialect,粤海方言
林特,topic's main category,Category:Lint Antwerp
FDR,mother,萨拉·罗斯福
恩施市,contains administrative territorial entity,三岔乡 (恩施市)
黄金时代,cast member,维吉尼亚·梅奥
贝加尔湖,described by source,大英百科全书第十一版
豹子花,parent taxon,豹子花属
奎尼丁,subclass of,antibacterial
194年,topic's main category,Category:194年
Jonathan,name day,3月29日
蒙特卡罗法,discoverer or inventor,斯塔尼斯拉夫·乌拉姆
非洲油棕,topic's main category,Category:油棕属
布伦纳,shares border with,因韦里戈
Irish,language regulatory body,Foras na Gaeilge
厄运,distributor,HBO
粤语,has dialect,四邑方言
林特,different from,Lint
FDR,sibling,James Roosevelt Roosevelt
恩施市,contains administrative territorial entity,新塘乡 (恩施市)
黄金时代,cast member,达纳·安德鲁斯
贝加尔湖,World Heritage criteria,(vii)
豹子花,subject has role,basionym
霍利,located in the administrative territorial entity,赖盖特-班斯特德
木薯属,topic's main category,Category:Manihot
奎尼丁,medical condition treated,心室颤动
Jonathan,name day,12月22日
蒙特卡罗法,discoverer or inventor,约翰·冯·诺伊曼
布伦纳,shares border with,马里亚诺科门塞
Irish,UNESCO language status,3 受到侵蚀的语言
厄运,aspect ratio,16:9 (影像)
粤语,has dialect,Gao-Yang Yue
FDR,spouse,埃莉诺·罗斯福
恩施市,contains administrative territorial entity,红土乡
黄金时代,cast member,Harold Russell
贝加尔湖,World Heritage criteria,(viii)
霍利,located in time zone,UTC±00:00
奎尼丁,significant drug interaction,莫西沙星
黄山风景区,material used,花岗岩
蒙特卡罗法,topic's main category,Category:蒙地卡罗方法
布伦纳,shares border with,阿尔扎泰布里亚恩扎
Irish,topic's main category,Category:爱尔兰语
粤语,has dialect,Yong-Xun Yue
FDR,child,詹姆斯·罗斯福
恩施市,contains administrative territorial entity,沙地乡
黄金时代,cast member,Michael Hall
贝加尔湖,World Heritage criteria,(ix)
霍利,said to be the same as,Horley
奎尼丁,significant drug interaction,胺碘酮
黄山风景区,heritage designation,世界遗产
Irish,different from,Iriska
粤语,has dialect,Goulou Yue
FDR,child,Elliott Roosevelt
恩施市,contains administrative territorial entity,白杨坪镇
黄金时代,cast member,霍奇·卡迈克尔
贝加尔湖,World Heritage criteria,(x)
奎尼丁,significant drug interaction,anagrelide
Jonathan,said to be the same as,Gionata
黄山风景区,World Heritage criteria,(ii)
粤语,has dialect,Qin-Lian Yue
FDR,child,小富兰克林·德拉诺·罗斯福
恩施市,contains administrative territorial entity,太阳河乡 (恩施市)
黄金时代,cast member,Cathy O'Donnell
贝加尔湖,catalog,Wikipedia:基础条目
奎尼丁,significant drug interaction,三氧化二砷
Jonathan,said to be the same as,Jonatán
黄山风景区,World Heritage criteria,(vii)
粤语,has dialect,Wu-Hua Yue
FDR,child,Anna Roosevelt Halsted
恩施市,contains administrative territorial entity,屯堡乡
黄金时代,cast member,雷·柯林斯
奎尼丁,significant drug interaction,astemizole
Jonathan,said to be the same as,Joonatan
黄山风景区,World Heritage criteria,(x)
粤语,has dialect,广州话
FDR,child,约翰·阿斯平沃尔·罗斯福
恩施市,contains administrative territorial entity,白果乡
黄金时代,cast member,Steve Cochran
奎尼丁,significant drug interaction,阿奇霉素
Jonathan,said to be the same as,Jonatan
粤语,topic's main category,Category:粤语
FDR,relative,西奥多·罗斯福
恩施市,contains administrative territorial entity,芭蕉侗族乡
黄金时代,cast member,威利·B·拉特利奇
奎尼丁,significant drug interaction,bepridil
Jonathan,said to be the same as,Ionatana
恩施市,contains administrative territorial entity,盛家坝乡
黄金时代,cast member,Minna Gombell
奎尼丁,significant drug interaction,氯化奎宁
恩施市,located in time zone,UTC+08:00
黄金时代,cast member,Charles Halton
FDR,languages spoken written or signed,德语
恩施市,topic's main category,Category:恩施市
黄金时代,cast member,Don Beddoe
奎尼丁,significant drug interaction,希塞菩
黄金时代,cast member,Dorothy Adams
QA,instance of,维基媒体徽章
附庸,subclass of,从属国
elite,instance of,社会阶级
perfect,instance of,grammeme
Hardy,instance of,男性人名
湘北,instance of,维基媒体消歧义页
奎尼丁,significant drug interaction,西酞普兰
FDR,occupation,律师
黄金时代,cast member,Roman Bohnen
酸沼,subclass of,syntaxon
莱姆病,subclass of,primary bacterial infectious disease
奎尼丁,significant drug interaction,克拉霉素
FDR,occupation,政治人物
黄金时代,cast member,华特·鲍德温
光叶闭鞘姜,instance of,生物分类单元
桑寄生,instance of,生物分类单元
褐云玛瑙螺,instance of,生物分类单元
桤木,instance of,生物分类单元
bitter,instance of,beer style
皇子,subclass of,王爵
酸沼,topic's main category,Category:Bogs
莱姆病,subclass of,borreliosis
perfect,described by source,Otto's encyclopedia
黄金时代,director of photography,格雷格·托兰德
Burger,language of work or name,斯洛文尼亚语
bitter,subclass of,high fermentation beer
酸沼,described by source,亚美尼亚苏维埃百科全书
