text,label,pred_label
祝所有的老师节日快乐,Alarm-Update,Calendar-Query
明天下午10点关闭手机,Alarm-Update,HomeAppliance-Control
第二天电影拷贝被中央办公厅调去再放一场,Alarm-Update,HomeAppliance-Control
明天早上七点按时打开热水器,Alarm-Update,HomeAppliance-Control
届时侯耀文生前的所有徒弟都将到场送别师傅最后一程,Alarm-Update,Music-Play
我想给单位职工办社会保险想问问你都需要些什么手续,Alarm-Update,Other
我刚发了信息让你们帮我找文志社怎么还没回,Alarm-Update,Other
给我找一个女的陪老程睡觉,Alarm-Update,Other
如果运气好有了的话就停工嘛,Alarm-Update,Other
后天晚上去往上海的飞机,Alarm-Update,Travel-Query
推送下元宵节当天教育的经典节目,Alarm-Update,Video-Play
白眉大侠放给我听一下吧,Audio-Play,FilmTele-Play
帮我播一下路知行和魏超合作的广播剧,Audio-Play,FilmTele-Play
刘兰芳讲的赵匡胤演义播放一下,Audio-Play,FilmTele-Play
播一首王安石的梅花,Audio-Play,Music-Play
所以在此背景下成长的陈玉莲比较单纯,Audio-Play,Music-Play
其中以孙府第一高手韩棠和小蝶的丫环花儿为代表,Audio-Play,Music-Play
随便播放一个有声小说,Audio-Play,Other
播放一下百家讲坛等会听,Audio-Play,Radio-Listen
给我找出景向谁依的广播剧听听,Audio-Play,Radio-Listen
薄荷花茶喝多了会影响身体健康吗,Calendar-Query,Radio-Listen
由于羁押一日折抵服刑一日目前二毛已刑满释放出狱回家,FilmTele-Play,Alarm-Update
广播剧将进酒帮我放一下,FilmTele-Play,Audio-Play
现在续播小说假如给我三天时间的第三章,FilmTele-Play,Audio-Play
随便播一个悬疑恐怖的有声小说,FilmTele-Play,Audio-Play
给我找一部武侠小说放来听听,FilmTele-Play,Audio-Play
播放搞笑类型的广播剧听听吧,FilmTele-Play,Audio-Play
继续播放柯南的推理小说福尔摩斯探案第二章,FilmTele-Play,Audio-Play
播放著名惊悚小说闪灵的日文版,FilmTele-Play,Audio-Play
续播推理小说无罪之证的第三章,FilmTele-Play,Audio-Play
现在开始请循环播放一下神笔马良这个故事,FilmTele-Play,Audio-Play
继续播一下恐怖小说死亡气味第三章,FilmTele-Play,Audio-Play
秦俊杰的天衣无缝麻烦放一下,FilmTele-Play,Music-Play
你能播放五条人的广东姑娘,FilmTele-Play,Music-Play
给我播放一下胡彦斌14年的红颜可以吗,FilmTele-Play,Music-Play
妹妹公主中的妹妹们叫什么以及她们的性格,FilmTele-Play,Music-Play
我根本不会认为你是假小子我就觉得你是一个很女人的女人,FilmTele-Play,Music-Play
你不要乱搜索好不好你这个笨蛋,FilmTele-Play,Other
雷得观众们满地打滚笑到内伤,FilmTele-Play,Other
我看向波比却看不到他,FilmTele-Play,Other
这是唯一一次也是敢做敢当,FilmTele-Play,Other
播放明天我们好好过,FilmTele-Play,TVProgram-Play
想看生命线了查看一下在哪个频道播出,FilmTele-Play,TVProgram-Play
刀客家族的女人是在湖南卫视国际播放的吗帮我看下,FilmTele-Play,TVProgram-Play
